Step/Epoch,Metric,Value
0,Train Loss,6.9541015625
1,Train Loss,6.98388671875
2,Train Loss,7.06005859375
3,Train Loss,6.98828125
4,Train Loss,7.20263671875
5,Train Loss,7.06591796875
6,Train Loss,7.09619140625
7,Train Loss,6.6064453125
8,Train Loss,6.89764404296875
9,Train Loss,6.91357421875
10,Train Loss,6.66064453125
11,Train Loss,6.80419921875
12,Train Loss,6.671875
13,Train Loss,6.73431396484375
14,Train Loss,6.771728515625
15,Train Loss,6.3935546875
16,Train Loss,6.472412109375
17,Train Loss,6.446533203125
18,Train Loss,6.207275390625
19,Train Loss,6.4149169921875
20,Train Loss,6.08026123046875
21,Train Loss,6.3385009765625
22,Train Loss,6.232666015625
23,Train Loss,5.666229248046875
24,Train Loss,5.8951416015625
25,Train Loss,5.5169677734375
26,Train Loss,5.522003173828125
27,Train Loss,5.7685546875
28,Train Loss,5.6259765625
29,Train Loss,5.447265625
30,Train Loss,5.5142822265625
31,Train Loss,5.568115234375
32,Train Loss,5.681816101074219
33,Train Loss,4.8814544677734375
34,Train Loss,5.1156005859375
35,Train Loss,4.88995361328125
36,Train Loss,5.09808349609375
37,Train Loss,4.69903564453125
38,Train Loss,5.1585693359375
39,Train Loss,4.889373779296875
40,Train Loss,4.961181640625
41,Train Loss,4.76416015625
42,Train Loss,4.768798828125
43,Train Loss,4.642608642578125
44,Train Loss,4.740234375
45,Train Loss,4.390380859375
46,Train Loss,4.6234283447265625
47,Train Loss,4.6751708984375
48,Train Loss,4.26971435546875
49,Train Loss,4.42462158203125
50,Train Loss,4.477752685546875
51,Train Loss,4.4374237060546875
52,Train Loss,4.400634765625
53,Train Loss,4.269927978515625
54,Train Loss,3.972320556640625
55,Train Loss,4.26806640625
56,Train Loss,4.4329833984375
57,Train Loss,4.05029296875
58,Train Loss,4.125640869140625
59,Train Loss,4.21649169921875
60,Train Loss,4.1265716552734375
61,Train Loss,4.461669921875
62,Train Loss,4.21014404296875
63,Train Loss,3.993316650390625
64,Train Loss,4.264404296875
65,Train Loss,3.975830078125
66,Train Loss,4.1363677978515625
67,Train Loss,4.27410888671875
68,Train Loss,3.9059600830078125
69,Train Loss,3.9109954833984375
70,Train Loss,3.564117431640625
71,Train Loss,3.9874343872070312
72,Train Loss,3.666195869445801
73,Train Loss,3.5240325927734375
74,Train Loss,3.6626129150390625
75,Train Loss,3.8093109130859375
76,Train Loss,3.8352737426757812
77,Train Loss,3.5174789428710938
78,Train Loss,3.54730224609375
79,Train Loss,3.486581802368164
80,Train Loss,3.3106689453125
81,Train Loss,3.805908203125
82,Train Loss,3.5491790771484375
83,Train Loss,3.428466796875
84,Train Loss,3.5671844482421875
85,Train Loss,3.4787673950195312
86,Train Loss,3.1398162841796875
87,Train Loss,3.7764892578125
88,Train Loss,3.4988632202148438
89,Train Loss,3.365753173828125
90,Train Loss,3.309722900390625
91,Train Loss,3.2689208984375
92,Train Loss,3.4168949127197266
93,Train Loss,3.5206756591796875
94,Train Loss,3.3078269958496094
95,Train Loss,3.4949188232421875
96,Train Loss,3.20849609375
97,Train Loss,3.45538330078125
98,Train Loss,2.9361572265625
99,Train Loss,3.1434783935546875
100,Train Loss,3.521881103515625
101,Train Loss,3.1285552978515625
102,Train Loss,3.071199417114258
103,Train Loss,3.44171142578125
104,Train Loss,3.4517822265625
105,Train Loss,3.290130615234375
106,Train Loss,3.3881301879882812
107,Train Loss,3.344573974609375
108,Train Loss,3.27685546875
109,Train Loss,3.06097412109375
110,Train Loss,3.151580810546875
111,Train Loss,3.1371612548828125
112,Train Loss,3.326219081878662
113,Train Loss,3.2699432373046875
114,Train Loss,2.7031402587890625
115,Train Loss,3.0620498657226562
116,Train Loss,3.204559326171875
117,Train Loss,3.2617340087890625
118,Train Loss,2.8404197692871094
119,Train Loss,3.0167770385742188
120,Train Loss,3.5423431396484375
121,Train Loss,3.24615478515625
122,Train Loss,3.3256568908691406
123,Train Loss,2.9885826110839844
124,Train Loss,3.3297576904296875
125,Train Loss,3.4006805419921875
126,Train Loss,2.67095947265625
127,Train Loss,3.271333694458008
128,Train Loss,3.1182632446289062
129,Train Loss,2.932048797607422
130,Train Loss,3.2154083251953125
131,Train Loss,2.9444427490234375
132,Train Loss,3.040538787841797
133,Train Loss,2.8777694702148438
134,Train Loss,2.6237564086914062
135,Train Loss,3.1620750427246094
136,Train Loss,3.254365921020508
137,Train Loss,3.0371246337890625
138,Train Loss,2.9668426513671875
139,Train Loss,2.9070358276367188
140,Train Loss,3.256866455078125
141,Train Loss,2.782855987548828
142,Train Loss,3.254068374633789
143,Train Loss,2.954103708267212
144,Train Loss,3.0614242553710938
145,Train Loss,2.8069610595703125
146,Train Loss,3.1960487365722656
147,Train Loss,3.2218589782714844
148,Train Loss,3.1838836669921875
149,Train Loss,2.874267578125
150,Train Loss,3.1630325317382812
151,Train Loss,2.9334230422973633
152,Train Loss,2.995361328125
153,Train Loss,2.702465057373047
154,Train Loss,3.1947708129882812
155,Train Loss,2.9215087890625
156,Train Loss,3.2957839965820312
157,Train Loss,2.31365966796875
158,Train Loss,2.7625885009765625
159,Train Loss,2.9454803466796875
160,Train Loss,2.705754280090332
161,Train Loss,2.8124306201934814
162,Train Loss,2.8536224365234375
163,Train Loss,2.95562744140625
164,Train Loss,2.6765899658203125
165,Train Loss,2.6544981002807617
166,Train Loss,3.0384521484375
167,Train Loss,2.652515411376953
168,Train Loss,2.7861621379852295
169,Train Loss,3.0664443969726562
170,Train Loss,2.930389404296875
171,Train Loss,2.855584144592285
172,Train Loss,2.551886558532715
173,Train Loss,3.0041298866271973
174,Train Loss,2.8254032135009766
175,Train Loss,2.394275665283203
176,Train Loss,3.1630706787109375
177,Train Loss,2.93310546875
178,Train Loss,2.5004043579101562
179,Train Loss,2.5915069580078125
180,Train Loss,2.8057403564453125
181,Train Loss,2.5746726989746094
182,Train Loss,2.8160929679870605
183,Train Loss,2.957228660583496
184,Train Loss,2.9773330688476562
185,Train Loss,2.8949432373046875
186,Train Loss,2.828502655029297
187,Train Loss,3.0759353637695312
188,Train Loss,2.5032501220703125
189,Train Loss,2.608628034591675
190,Train Loss,2.2477588653564453
191,Train Loss,2.6654109954833984
192,Train Loss,2.60260009765625
193,Train Loss,2.5574607849121094
194,Train Loss,2.654121160507202
195,Train Loss,2.8089370727539062
196,Train Loss,2.8171615600585938
197,Train Loss,2.4939002990722656
198,Train Loss,2.924602508544922
199,Train Loss,2.875946044921875
200,Train Loss,2.6133079528808594
201,Train Loss,2.524749755859375
202,Train Loss,2.512417793273926
203,Train Loss,2.8397693634033203
204,Train Loss,3.141206741333008
205,Train Loss,3.2284202575683594
206,Train Loss,2.4285964965820312
207,Train Loss,2.210906982421875
208,Train Loss,3.4066691398620605
209,Train Loss,3.2525787353515625
210,Train Loss,2.6204769611358643
211,Train Loss,2.7243804931640625
212,Train Loss,2.9614639282226562
213,Train Loss,2.5908870697021484
214,Train Loss,2.8725242614746094
215,Train Loss,2.4960227012634277
216,Train Loss,2.7066726684570312
217,Train Loss,2.476428985595703
218,Train Loss,2.772705078125
219,Train Loss,2.319272041320801
220,Train Loss,2.7764787673950195
221,Train Loss,2.5539636611938477
222,Train Loss,2.733224868774414
223,Train Loss,2.082193374633789
224,Train Loss,2.8792226314544678
225,Train Loss,2.884821891784668
226,Train Loss,3.1957321166992188
227,Train Loss,2.6989011764526367
228,Train Loss,2.4409141540527344
229,Train Loss,2.702421188354492
230,Train Loss,2.5526819229125977
231,Train Loss,2.4062466621398926
232,Train Loss,2.944477081298828
233,Train Loss,2.870922088623047
234,Train Loss,2.7567169666290283
235,Train Loss,2.7830066680908203
236,Train Loss,2.6440200805664062
237,Train Loss,3.2040634155273438
238,Train Loss,2.5654234886169434
239,Train Loss,2.664604663848877
240,Train Loss,2.958652973175049
241,Train Loss,2.716212272644043
242,Train Loss,3.05462646484375
243,Train Loss,2.3121185302734375
244,Train Loss,2.4405269622802734
245,Train Loss,2.3226547241210938
246,Train Loss,2.715747833251953
247,Train Loss,2.8577728271484375
248,Train Loss,2.740581512451172
249,Train Loss,2.9150161743164062
250,Train Loss,2.854705810546875
251,Train Loss,2.632202386856079
252,Train Loss,2.4487571716308594
253,Train Loss,1.9882745742797852
254,Train Loss,2.3219032287597656
255,Train Loss,2.3932228088378906
256,Train Loss,2.3803234100341797
257,Train Loss,2.469511032104492
258,Train Loss,2.517190933227539
259,Train Loss,2.2425689697265625
260,Train Loss,1.8652445077896118
261,Train Loss,2.4688491821289062
262,Train Loss,2.6943793296813965
263,Train Loss,2.532155990600586
264,Train Loss,2.7734756469726562
265,Train Loss,2.6569299697875977
266,Train Loss,2.574090003967285
267,Train Loss,2.15126633644104
268,Train Loss,2.9039955139160156
269,Train Loss,2.4768943786621094
270,Train Loss,2.5744447708129883
271,Train Loss,2.71966552734375
272,Train Loss,2.3244476318359375
273,Train Loss,2.309783935546875
274,Train Loss,2.6670613288879395
275,Train Loss,2.9123592376708984
276,Train Loss,2.3220748901367188
277,Train Loss,2.6963882446289062
278,Train Loss,2.486344814300537
279,Train Loss,2.5159759521484375
280,Train Loss,2.579695224761963
281,Train Loss,2.626844882965088
282,Train Loss,2.381922721862793
283,Train Loss,2.2509765625
284,Train Loss,2.816375732421875
285,Train Loss,2.594790458679199
286,Train Loss,2.719611167907715
287,Train Loss,2.202561855316162
288,Train Loss,2.6215763092041016
289,Train Loss,2.942657470703125
290,Train Loss,2.469024181365967
291,Train Loss,2.726459503173828
292,Train Loss,2.3454947471618652
293,Train Loss,2.101283073425293
294,Train Loss,2.253347396850586
295,Train Loss,2.627872943878174
296,Train Loss,2.120976448059082
297,Train Loss,2.574308395385742
298,Train Loss,2.7735862731933594
299,Train Loss,2.399020195007324
300,Train Loss,2.347784996032715
301,Train Loss,2.190673351287842
302,Train Loss,2.498276710510254
303,Train Loss,2.388399124145508
304,Train Loss,2.4730148315429688
305,Train Loss,2.3083088397979736
306,Train Loss,2.408212661743164
307,Train Loss,2.5602095127105713
308,Train Loss,2.6391372680664062
309,Train Loss,2.1852455139160156
310,Train Loss,1.9628827571868896
311,Train Loss,2.609130382537842
312,Train Loss,2.6910932064056396
313,Train Loss,2.1174488067626953
314,Train Loss,2.4096128940582275
315,Train Loss,2.8476924896240234
316,Train Loss,2.824795961380005
317,Train Loss,2.461845874786377
318,Train Loss,1.9704089164733887
319,Train Loss,2.712185859680176
320,Train Loss,2.133608818054199
321,Train Loss,2.807246685028076
322,Train Loss,2.454829216003418
323,Train Loss,2.3952579498291016
324,Train Loss,2.2163772583007812
